Product_Name, Pricing, Ratings 
Realme 5i (Forest Green| 64 GB),Rs.8999,4.537,923
Realme 5i (Aqua Blue| 64 GB),Rs.8999,4.537,923
Realme 5s (Crystal Blue| 64 GB),Rs.9999,4.41,60,000
Realme 5s (Crystal Purple| 128 GB),Rs.10999,4.41,60,000
Realme 5s (Crystal Purple| 64 GB),Rs.9999,4.41,60,000
Realme 3i (Diamond Blue| 64 GB),Rs.7999,4.460,104
Realme 3i (Diamond Black| 64 GB),Rs.7999,4.460,104
Realme 3i (Diamond Blue| 32 GB),Rs.6999,4.42,59,590
Realme 3i (Diamond Black| 32 GB),Rs.6999,4.42,59,590
Redmi 8A (Ocean Blue| 32 GB),Rs.6999,4.480,742
Redmi 7A (Matte Black| 32 GB),Rs.5499,4.33,20,786
Redmi Note 7 Pro (Neptune Blue| 64 GB),Rs.9999,4.57,33,592
Redmi 8A (Midnight Black| 32 GB),Rs.6999,4.480,742
I Kall K1000 (Blue| 64 GB),Rs.4999,3.770
Redmi 8A (Ocean Blue| 32 GB),Rs.6499,4.489,769
Redmi Note 7 Pro (Space Black| 64 GB),Rs.9999,4.57,33,592
Infinix Hot 8 (Shark Grey| 64 GB),Rs.6999,4.51,78,736
Redmi Note 7 Pro (Neptune Blue| 64 GB),Rs.10999,4.52,26,650
Realme C2 (Diamond Black| 32 GB),Rs.5999,4.46,82,528
Detel D1 Guru,Rs.599,3.73,324
Realme C2 (Diamond Blue| 32 GB),Rs.5999,4.46,82,528
Infinix Hot 8 (Quetzal Cyan| 64 GB),Rs.6999,4.51,78,736
Infinix Hot 8 (Cosmic Purple| 64 GB),Rs.6999,4.51,78,736
Niamia Cad V,Rs.899,3.6551
